site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
TCEC187,Arpachiyah,,,BM-1531,charcoal,,6930,60,,Bohner2004-ba,"Hijara et al. 1980, Burleigh et al. 1982a, Watson 1983, Bernbeck 1994",FALSE,,,,,,,,,,,
TCEC187,Arpachiyah,,,P-584,charcoal,,7027,83,,Bohner2004-ba,"Stuckenrath and Ralph 1965, Coursaget and Le Run 1966, Bernbeck 1994, Chataigner 1995",FALSE,,,,,,,,,,,
TCEC187,Arpachiyah,,,P-585,charcoal,,8064,78,,Bohner2004-ba,Stuckenrath and Ralph 1965,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2035) <2220>,AAR-26652,plant remains,,9959,30,-26.08,TCEC,TCEC,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2035) <2154>,AAR-26653,plant remains,,9980,39,-24.69,TCEC,TCEC,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2041) <2085>,AAR-26654,plant remains,,9940,37,-26.42,TCEC,TCEC,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2044) <2166>,AAR-26655,plant remains,,9917,27,-26.18,TCEC,TCEC,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2054) <2224>,AAR-26656,plant remains,,10024,50,-25.34,TCEC,TCEC,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2054) <2217>,AAR-26657,plant remains,,9900,56,-11.37,TCEC,TCEC,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2062) <2262>,AAR-26658,plant remains,,9901,41,-25.01,TCEC,TCEC,FALSE,,,,,,,,,,,
TCEC50,Asiab,,(2061) <2243>,AAR-26659,Dung?,,9912,26,-23.79,TCEC,TCEC,FALSE,,,,,,,,,,,Material uncertain
TCEC50,Asiab,,,B-159552,bone collagen,,7790,60,,Darabi2015-jm,Zeder 2008b,FALSE,,,,,,,,,,,
TCEC50,Asiab,,,B-159554,bone collagen,,9370,60,,Darabi2015-jm,Zeder 2008b,FALSE,,,,,,,,,,,
TCEC50,Asiab,,,B-159555,bone collagen,,9480,80,,Darabi2015-jm,Zeder 2008b,FALSE,,,,,,,,,,,
TCEC50,Asiab,,,GrN-6413,charcoal,,9755,85,,Darabi2015-jm,Howe 1986,FALSE,,,,,,,,,,,
TCEC50,Asiab,,,GrN-6434,charcoal,,9755,85,,Bohner2004-ba,"Howe 1983, Hole 1987, Voigt and Dyson 1992",FALSE,,,,,,,,,,,
TCEC50,Asiab,,,UCLA-1714B,bone collagen,,8900,100,,Darabi2015-jm,Howe 1984,FALSE,,,,,,,,,,,
TCEC50,Asiab,,,UCLA-1714C,bone collagen,Ovis/Capra,8700,100,,Darabi2015-jm,Howe 1983,FALSE,,,,,,,,,,,
TCEC50,Asiab,,,UCLA-1714F,bone collagen,Ovis/Capra,9050,300,,Darabi2015-jm,Howe 1985,FALSE,,,,,,,,,,,
TCEC188,Bakun B,,,P-438,charcoal,,5990,81,,Bohner2004-ba,Stuckenrath 1963,FALSE,,,,,,,,,,,
TCEC188,Bakun B,,,P-931,soil,,6246,70,,Bohner2004-ba,Stuckenrath et al. 1966,FALSE,,,,,,,,,,,
TCEC189,Banahilk,,,P-1501,soil,,6309,78,,Bohner2004-ba,"Lawn 1973, Bernbeck 1994",FALSE,,,,,,,,,,,
TCEC189,Banahilk,,,P-1502,charcoal,,6752,85,,Bohner2004-ba,"Lawn 1973, Bernbeck 1994",FALSE,,,,,,,,,,,
TCEC189,Banahilk,,,P-1504,shell,Helix,6854,72,,Bohner2004-ba,"Lawn 1973, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bestansur,,,Beta-368934,bone,,8610,50,,Palmisano2017-qp,,FALSE,,,,,,,,,,,
TCEC190,Bog-i-No,,,I-1492,charcoal,,6200,140,,Bohner2004-ba,Hole et al. 1969,FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-10589,,,7465,45,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-13079,,,7485,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-13081,,,7520,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-13082,,,7530,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 2,GrN-4820,charcoal,,7840,60,,Bohner2004-ba,"Vogel and Waterbolk 1967, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 2,GrN-8264,,,7860,40,,Bohner2004-ba,"Akkermans et al. 1981, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-13090,,,7880,60,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 5,GrN-8260,,,7905,45,,Bohner2004-ba,"Akkermans et al. 1981, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 5,GrN-8259,,,7925,40,,Bohner2004-ba,"Akkermans et al. 1981, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-10591,,,7945,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 4,GrN-4819,charcoal,,7960,55,,Bohner2004-ba,"Vogel and Waterbolk 1967, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 3,GrN-13099,,,8025,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 3,GrN-13100,,,8080,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 10,GrN-10592,,,8110,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 4,GrN-8258,,,8115,40,,Bohner2004-ba,"Akkermans et al. 1981, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 10,GrN-4818,charcoal,,8140,60,,Bohner2004-ba,"Vogel and Waterbolk 1967, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 4,GrN-8261,,,8155,45,,Bohner2004-ba,"Akkermans et al. 1981, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 7,GrN-13101,,,8230,35,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,layer I (lev. 8?),GrN-4852,charcoal,,8240,100,,Bohner2004-ba,"Vogel and Waterbolk 1967, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 9,GrN-13103,,,8285,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 9,GrN-13104,,,8300,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 11,GrN-8263,,,8330,80,,Bohner2004-ba,"Akkermans et al. 1981, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 8,GrN-13102,,,8345,35,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-13080,,,8365,50,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Bouqras,,lev. 9,GrN-8262,charcoal,,8380,45,,Bohner2004-ba,"Akkermans et al. 1981, Bernbeck 1994",FALSE,,,,,,,,,,,
,Bouqras,,lev. 3-4,GrN-10590,,,12230,190,,Bohner2004-ba,Bernbeck 1994,FALSE,,,,,,,,,,,
,Chagar Bazar,Halaf,niv. 11-12,P-1487,soil,,6665,77,,Bohner2004-ba,"Lawn 1973, Bernbeck 1994, Chataigner 1995",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-293,unknown,,8000,710,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-294,unknown,,8760,150,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-295,unknown,,9690,100,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-296,unknown,,8760,165,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-297,unknown,,8040,90,,Bohner2004-ba,Hole 1987,FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-300,unknown,,11270,90,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-302,unknown,,8085,145,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UCLA-305,unknown,,10425,145,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
